Unnamed: 0,period,time,x,y,z,possession_start,possession_end,possession_number,scored,x_bin,y_bin
5478,1,519.52,88.5902,23.33939,7.01082,525.0,517.0,100000,1,18,4
5393,1,522.92,60.33963,47.03315,5.05533,525.0,517.0,100000,1,12,9
5156,1,524.4,56.15521,46.2276,4.0193,525.0,517.0,100000,1,11,9
5465,1,520.04,86.94073,22.81185,7.60527,525.0,517.0,100000,1,18,4
5522,1,517.76,91.09229,30.78871,4.90019,525.0,517.0,100000,1,19,6
5618,1,521.92,63.50803,45.91503,0.40537,525.0,517.0,100000,1,13,9
5285,1,519.24,88.37802,23.06051,11.08913,525.0,517.0,100000,1,18,4
5381,1,523.4,59.80447,46.36435,4.67557,525.0,517.0,100000,1,12,9
5387,1,523.16,60.30831,46.82005,5.07522,525.0,517.0,100000,1,12,9
5249,1,520.68,80.0588,30.0976,13.02273,525.0,517.0,100000,1,17,6
5062,1,525.0,48.0001,44.03785,5.75442,525.0,517.0,100000,1,10,8
5188,1,523.12,60.31141,46.86958,5.07865,525.0,517.0,100000,1,12,9
5436,1,521.2,70.4986,39.8894,10.20323,525.0,517.0,100000,1,14,7
5714,1,518.08,90.81947,29.73259,6.11551,525.0,517.0,100000,1,19,5
5142,1,524.96,49.56485,44.62288,5.33293,525.0,517.0,100000,1,10,8
5562,1,524.16,57.14648,46.17874,4.17207,525.0,517.0,100000,1,12,9
5451,1,520.6,81.44949,28.41375,12.89045,525.0,517.0,100000,1,17,5
5728,1,517.52,91.63468,31.49224,2.38377,525.0,517.0,100000,1,19,6
5119,1,522.72,60.38436,47.07824,4.90424,525.0,517.0,100000,1,12,9
5322,1,517.76,91.09229,30.78871,4.90019,525.0,517.0,100000,1,19,6
5234,1,521.28,69.03891,41.81115,8.68539,525.0,517.0,100000,1,14,8
5521,1,517.8,91.05062,30.62844,5.13722,525.0,517.0,100000,1,19,6
5409,1,522.28,61.0677,46.36669,3.93673,525.0,517.0,100000,1,12,9
5401,1,522.6,60.50358,47.20184,4.95064,525.0,517.0,100000,1,12,9
5349,1,524.68,54.94267,45.7185,3.85054,525.0,517.0,100000,1,11,9
5574,1,523.68,59.36321,45.67514,4.65551,525.0,517.0,100000,1,12,9
5740,1,517.04,92.23108,32.46625,3.49289,525.0,517.0,100000,1,19,6
5673,1,519.72,88.06666,23.05442,3.62146,525.0,517.0,100000,1,18,4
5206,1,522.4,60.78407,46.60801,4.8712,525.0,517.0,100000,1,12,9
5073,1,524.56,55.52507,46.23094,3.94644,525.0,517.0,100000,1,11,9
5473,1,519.72,88.06666,23.05442,3.62146,525.0,517.0,100000,1,18,4
5565,1,524.04,57.66789,46.11626,4.2696,525.0,517.0,100000,1,12,9
5487,1,519.16,89.47824,24.39873,9.49422,525.0,517.0,100000,1,19,4
5325,1,517.64,91.29417,31.23177,4.04939,525.0,517.0,100000,1,19,6
5184,1,523.28,60.0932,46.51022,5.09762,525.0,517.0,100000,1,12,9
5232,1,521.36,67.20169,42.35796,8.10098,525.0,517.0,100000,1,14,8
5310,1,518.24,90.42084,29.73551,5.46931,525.0,517.0,100000,1,19,5
5701,1,518.6,89.58567,29.01859,1.65134,525.0,517.0,100000,1,19,5
5642,1,520.96,74.99607,35.25866,12.77079,525.0,517.0,100000,1,15,7
5131,1,522.24,61.27748,46.38924,3.51702,525.0,517.0,100000,1,13,9
5598,1,522.72,60.38436,47.07824,4.90424,525.0,517.0,100000,1,12,9
5660,1,520.24,86.48226,23.33405,9.72258,525.0,517.0,100000,1,18,4
5611,1,522.2,61.54412,46.40684,3.16511,525.0,517.0,100000,1,13,9
5324,1,517.68,91.21116,31.09429,4.35599,525.0,517.0,100000,1,19,6
5429,1,521.48,65.38125,43.33619,6.53734,525.0,517.0,100000,1,13,8
