profile,profile_rank,ranking_method,config_key,n_bootstraps,possessions_per_bootstrap,samples_per_possession,n_scope_results,mean_penalized_profile_cosine,median_penalized_profile_cosine,minimum_penalized_profile_cosine,maximum_penalized_profile_cosine,mean_support_cosine,mean_outside_energy_fraction,mean_recovered_dynamic_range,qut_rejection_rate,mean_p_value,mean_lambda_qut,mean_lambda_max_obs,mean_lambda_ci_width,mean_lambda_bootstrap_std,expected_scope_results,coverage_fraction,complete_coverage
high_y_side,1,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b050_p01000_s250,50,1000,250,5,0.968727404303392,0.979990856717827,0.9230401563966445,0.9963024380747768,0.9933854753428422,0.0489775241449288,0.23942506834864616,1.0,0.0,17.779282616278756,95.06413687603131,18.847008633487114,5.30944256735016,5,1.0,True
high_y_side,2,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b100_p01000_s250,100,1000,250,5,0.9683118938435653,0.9808346361250396,0.9193856611897585,0.9967214639510463,0.9932213876585223,0.049473137357644324,0.24005026847124097,1.0,0.0,17.779282616278756,95.06413687603131,19.49843690725077,5.341642409301493,5,1.0,True
high_y_side,3,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b100_p01000_s200,100,1000,200,5,0.9675652509328121,0.9830383066874139,0.9198583506822744,0.9971722190143313,0.9912512288865386,0.04722053168543956,0.2384691682457924,1.0,0.0,18.0265287512894,93.01289643301583,19.177696041779008,5.054169502280798,5,1.0,True
high_y_side,4,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b500_p01000_s100,500,1000,100,5,0.9623023413675252,0.980256937795917,0.9118141854668749,0.997031276545894,0.9881160176969142,0.05163028759439755,0.26896060340106487,1.0,0.0,15.219881466274478,77.93666934208566,18.181353095745365,4.61734206932154,5,1.0,True
high_y_side,5,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b100_p02500_s250,100,2500,250,5,0.94764821651631,0.9503838382783738,0.883491555884886,0.9897977615943038,0.9872821551769485,0.07865229868672477,0.28860374208539724,1.0,0.0,27.14852615886585,234.72257503059473,29.128885383389974,7.936439315812747,5,1.0,True
high_y_side,6,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b050_p02500_s250,50,2500,250,5,0.9474002206430949,0.9474569416180646,0.8824767618405839,0.9905907716030576,0.9871026622655179,0.07881490215188063,0.28879131335765124,1.0,0.0,27.14852615886585,234.72257503059473,28.022497801482103,8.242024887784897,5,1.0,True
low_y_side,1,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b050_p01000_s250,50,1000,250,5,0.9689842822150476,0.980583645463197,0.9144534381597699,0.9979213876079146,0.987983714830863,0.038158404504945696,0.24225261583924293,1.0,0.0,17.91774396392718,98.95400940382994,18.714864486895497,5.4854950823399635,5,1.0,True
low_y_side,2,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b100_p01000_s250,100,1000,250,5,0.9681470120905505,0.979657943747248,0.9168833499483288,0.9967365392129852,0.988182527268064,0.040158898436918486,0.24089073725044727,1.0,0.0,17.91774396392718,98.95400940382994,22.530799435143585,5.775094299912707,5,1.0,True
low_y_side,3,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b100_p01000_s200,100,1000,200,5,0.965316373257771,0.9759875146762418,0.9148696502484499,0.9963371582652775,0.9867253574486469,0.04295235903626535,0.25032308623194693,1.0,0.0,16.921040465337914,96.87399692195049,20.402063107348415,5.155912995036312,5,1.0,True
low_y_side,4,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b500_p01000_s100,500,1000,100,5,0.965103267989227,0.968731946382122,0.9196891306129709,0.9950905879228177,0.983906569636904,0.037916813704456,0.27339121371507646,1.0,0.0,15.32543962445778,84.15096398630541,18.752103541953016,4.792572999742896,5,1.0,True
