run_id,stream_id,simulation_tag,sweep_tag,profile,scope,config_id,config_key,bootstrap_group_key,design,n_bootstraps,possessions_per_bootstrap,samples_per_possession,bootstrap_seed,null_seed,lambda_qut,map_estimator,map_status,similarity_method,profile_support_sectors,off_profile_sectors,recovered_background_level,light_leakage_exponent,moderate_leakage_exponent,whole_grid_cosine,support_cosine,outside_energy_fraction,lightly_penalized_whole_grid_cosine,moderately_penalized_whole_grid_cosine,recovered_support_energy,recovered_outside_energy,recovered_dynamic_range,error
high_y_side__full_game__b500_p01000_s100,high_y_side__full_game__p01000_s100,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,full_game,0,b500_p01000_s100,p01000_s100,selected_ranked_validation,500,1000,100,1920414983,1504069770,16.97921678908339,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.049048563465476036,0.5,1.0,0.9970312765458943,0.9990932653188063,0.0041234607742644,0.9949735434294329,0.9929200571863426,1.79861723507138,0.0074472360022647555,0.23281701654195786,
high_y_side__full_game__b100_p01000_s200,high_y_side__full_game__p01000_s200,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,full_game,3,b100_p01000_s200,p01000_s200,selected_ranked_validation,100,1000,200,2842462570,2566466706,17.40696213092803,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.04901448078453541,0.5,1.0,0.9971722190143312,0.999740848213025,0.005131988795204897,0.994610189381887,0.99205474235946,1.6910987938390365,0.008723468805732791,0.22321688756346703,
high_y_side__full_game__b050_p01000_s250,high_y_side__full_game__p01000_s250,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,full_game,2,b050_p01000_s250,p01000_s250,selected_ranked_validation,50,1000,250,2271573849,1666179045,18.638785745531017,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.04759969003498554,0.5,1.0,0.9963024380747771,0.9996504093628686,0.006687067480717918,0.9929656796183322,0.9896400964401674,1.574768074329056,0.010601473145839858,0.2162820566445589,
high_y_side__full_game__b100_p01000_s250,high_y_side__full_game__p01000_s250,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,full_game,5,b100_p01000_s250,p01000_s250,selected_ranked_validation,100,1000,250,2271573849,1666179045,18.638785745531017,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.04792276956140995,0.5,1.0,0.9967214639510463,0.9996218615133912,0.005794570786677657,0.9938294818769412,0.990945890873581,1.590257078317217,0.009268564562774195,0.21700950153172016,
high_y_side__full_game__b050_p02500_s250,high_y_side__full_game__p02500_s250,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,full_game,1,b050_p02500_s250,p02500_s250,selected_ranked_validation,50,2500,250,2735250012,3657802271,26.228856176766516,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.06268966943025589,0.5,1.0,0.9905907716030576,0.9990832939232651,0.016928373872056212,0.9821704383944065,0.9738216806671524,2.2584808873387368,0.03889076627544488,0.26079628616571426,
high_y_side__full_game__b100_p02500_s250,high_y_side__full_game__p02500_s250,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,full_game,4,b100_p02500_s250,p02500_s250,selected_ranked_validation,100,2500,250,2735250012,3657802271,26.228856176766516,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.0631483606994152,0.5,1.0,0.9897977615943037,0.9989697013115086,0.018278500508604214,0.980710033118006,0.9717057427055869,2.252922845691398,0.04194677553883722,0.26010195538401604,
high_y_side__quarter_1__b500_p01000_s100,high_y_side__quarter_1__p01000_s100,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,quarter_1,0,b500_p01000_s100,p01000_s100,selected_ranked_validation,500,1000,100,2647238433,3988492099,15.945000033707268,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.06596504896879196,0.5,1.0,0.9379587140518583,0.9869165540180959,0.09675289608025377,0.8914295192273008,0.8472084920636304,2.009000034255681,0.21519755855960826,0.25856707617640495,
high_y_side__quarter_1__b100_p01000_s200,high_y_side__quarter_1__p01000_s200,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,quarter_1,3,b100_p01000_s200,p01000_s200,selected_ranked_validation,100,1000,200,1046329125,2334718242,17.589778645018598,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.061153506860136986,0.5,1.0,0.9458789817962159,0.9920974253432618,0.09100288414824101,0.9018136982809807,0.8598012663975587,1.745075034922159,0.1747055721779731,0.2372240498661995,
high_y_side__quarter_1__b050_p01000_s250,high_y_side__quarter_1__p01000_s250,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,quarter_1,2,b050_p01000_s250,p01000_s250,selected_ranked_validation,50,1000,250,3078264424,1835426287,18.63506907352363,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.058645350858569145,0.5,1.0,0.9540213797961464,0.9944421423277614,0.0796411900283443,0.9152435866984423,0.8780419817966983,1.6303886421751488,0.14108203264281693,0.22752214036881924,
high_y_side__quarter_1__b100_p01000_s250,high_y_side__quarter_1__p01000_s250,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,quarter_1,5,b100_p01000_s250,p01000_s250,selected_ranked_validation,100,1000,250,3078264424,1835426287,18.63506907352363,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.05927737057209015,0.5,1.0,0.9542082441830478,0.9951084249510503,0.08051314989300866,0.9149891111731705,0.8773819327899935,1.6564658416667317,0.14504533978625547,0.22842910885810852,
