run_id,profile,scope,config_id,design,n_bootstraps,possessions_per_bootstrap,samples_per_possession,lambda_qut,map_status,spatial_correlation,standardized_rmse,recovered_dynamic_range,error
high_y_side__full_game__config_00,high_y_side,full_game,0,baseline,100,1000,200,17.150627565280626,ok,0.8477849504286957,0.5939004400600603,0.22616039589047432,
high_y_side__quarter_1__config_00,high_y_side,quarter_1,0,baseline,100,1000,200,16.714824929762415,ok,0.8573467089601403,0.5687948888834313,0.29959114640951157,
high_y_side__quarter_2__config_00,high_y_side,quarter_2,0,baseline,100,1000,200,15.908479135558606,ok,0.8825962257168009,0.5186483357463023,0.3278746008872984,
high_y_side__quarter_3__config_00,high_y_side,quarter_3,0,baseline,100,1000,200,17.352516962530842,ok,0.8494110826275137,0.573636026877175,0.18073833361268044,
high_y_side__quarter_4__config_00,high_y_side,quarter_4,0,baseline,100,1000,200,15.413344618426004,ok,0.7538087532531768,0.75108767520026,0.2573203518986702,
high_y_side__full_game__config_01,high_y_side,full_game,1,one_factor_sweep,10,1000,200,17.753616617430502,ok,0.865253609492469,0.5502856378257354,0.2519410476088524,
high_y_side__quarter_1__config_01,high_y_side,quarter_1,1,one_factor_sweep,10,1000,200,17.44412940307367,ok,0.8552128464928375,0.5742467500001672,0.23283421620726585,
high_y_side__quarter_2__config_01,high_y_side,quarter_2,1,one_factor_sweep,10,1000,200,15.842005013390018,ok,0.8690443072090981,0.539084285168191,0.36817845702171326,
high_y_side__quarter_3__config_01,high_y_side,quarter_3,1,one_factor_sweep,10,1000,200,15.735832548483495,ok,0.8533957430593861,0.5491978620855714,0.17469148337841034,
high_y_side__quarter_4__config_01,high_y_side,quarter_4,1,one_factor_sweep,10,1000,200,15.794248859382396,ok,0.7786212690924353,0.7216380777287195,0.2283543199300766,
high_y_side__full_game__config_02,high_y_side,full_game,2,one_factor_sweep,50,1000,200,16.563079760731505,ok,0.8860608965548529,0.512226081007793,0.2366659864783287,
high_y_side__quarter_1__config_02,high_y_side,quarter_1,2,one_factor_sweep,50,1000,200,18.525285743762332,ok,0.8896027406013904,0.492839600544099,0.255646713078022,
high_y_side__quarter_2__config_02,high_y_side,quarter_2,2,one_factor_sweep,50,1000,200,17.6222698960217,ok,0.8648907536350512,0.5530962385383966,0.32601068541407585,
high_y_side__quarter_3__config_02,high_y_side,quarter_3,2,one_factor_sweep,50,1000,200,15.808606006004414,ok,0.913373494999333,0.4330513767217257,0.16357925161719322,
high_y_side__quarter_4__config_02,high_y_side,quarter_4,2,one_factor_sweep,50,1000,200,17.016792985559217,ok,0.7674812668292014,0.7376108462906367,0.2443269118666649,
high_y_side__full_game__config_03,high_y_side,full_game,3,one_factor_sweep,500,1000,200,16.626815807329056,ok,0.8890368557231255,0.5073870266092295,0.2472100369632244,
high_y_side__quarter_1__config_03,high_y_side,quarter_1,3,one_factor_sweep,500,1000,200,16.318948332806453,ok,0.8816780284667194,0.5122253866561579,0.30225951969623566,
high_y_side__quarter_2__config_03,high_y_side,quarter_2,3,one_factor_sweep,500,1000,200,16.96120713380788,ok,0.8878667793657007,0.5065522144822391,0.3012091852724552,
high_y_side__quarter_3__config_03,high_y_side,quarter_3,3,one_factor_sweep,500,1000,200,18.423261136841813,ok,0.880464511762306,0.5015642035380543,0.1584690883755684,
high_y_side__quarter_4__config_03,high_y_side,quarter_4,3,one_factor_sweep,500,1000,200,17.993442872257337,ok,0.720540908272762,0.8244132462867982,0.21334054693579674,
high_y_side__full_game__config_04,high_y_side,full_game,4,one_factor_sweep,100,100,200,5.652230003951274,ok,0.8203090171350285,0.6442165199555526,0.09987033158540726,
high_y_side__quarter_1__config_04,high_y_side,quarter_1,4,one_factor_sweep,100,100,200,5.086299438828887,ok,0.6872594777841143,0.8725115141156147,0.08162855729460716,
high_y_side__quarter_2__config_04,high_y_side,quarter_2,4,one_factor_sweep,100,100,200,5.520198446488188,ok,0.721465743572784,0.8266194689470455,0.09388130344450474,
high_y_side__quarter_3__config_04,high_y_side,quarter_3,4,one_factor_sweep,100,100,200,5.0034870277249786,ok,0.8518603959737449,0.5851632293745261,0.0643258597701788,
high_y_side__quarter_4__config_04,high_y_side,quarter_4,4,one_factor_sweep,100,100,200,5.151629085276867,ok,0.8809228150019749,0.5162660789974906,0.17245681583881378,
