"run_id","simulation_tag","simulated_games","method","gam_method","basis_id","basis_k","profile","scope","config_key","n_bootstraps","possessions_per_bootstrap","samples_per_possession","map_estimator","map_status","similarity_method","profile_support_sectors","off_profile_sectors","recovered_background_level","light_leakage_exponent","moderate_leakage_exponent","whole_grid_cosine","support_cosine","outside_energy_fraction","lightly_penalized_whole_grid_cosine","moderately_penalized_whole_grid_cosine","recovered_support_energy","recovered_outside_energy","recovered_dynamic_range"
"reference__full_game__b050_p02500_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"reference","full_game","b050_p02500_s250",50,2500,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",50,150,-0.0479068569016732,0.5,1,0.782596380894842,0.89857063790155,0.241472686410395,0.681590372037961,0.593620730425112,6.2715433880605,1.99650876471098,0.498835438999317
"reference__full_game__b050_p01000_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"reference","full_game","b050_p01000_s250",50,1000,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",50,150,-0.041193378523487,0.5,1,0.803495333124289,0.898879742176461,0.200969179584183,0.718232617846416,0.642017535226581,5.94285611250743,1.49472446719381,0.50599353143323
"reference__full_game__b100_p02500_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"reference","full_game","b100_p02500_s250",100,2500,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",50,150,-0.0482119350170281,0.5,1,0.780322550418857,0.895148284795076,0.240096669882974,0.680226162564322,0.5929697046287,6.44349444660183,2.03586627104304,0.510701267750614
"reference__full_game__b100_p01000_s200","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"reference","full_game","b100_p01000_s200",100,1000,200,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",50,150,-0.0493369485644089,0.5,1,0.800291613729755,0.899684625584286,0.208745972092149,0.711879083840333,0.633233962864542,6.4035907363769,1.68937373586546,0.506882196322341
"reference__full_game__b100_p01000_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"reference","full_game","b100_p01000_s250",100,1000,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",50,150,-0.0451002096467181,0.5,1,0.805069994960003,0.901205807231308,0.201969815492612,0.71918943662393,0.642470156619293,6.17287949949943,1.56226588639829,0.507640344151056
"reference__quarter_1__b050_p02500_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"reference","quarter_1","b050_p02500_s250",50,2500,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",50,150,-0.0549310873141494,0.5,1,0.775464854137961,0.879542515208231,0.222660808338633,0.683702867803772,0.602799222877403,15.8425026117963,4.53792176631455,0.907829899480051
"reference__quarter_1__b050_p01000_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"reference","quarter_1","b050_p01000_s250",50,1000,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",50,150,-0.0614758434439493,0.5,1,0.778389477647888,0.881151597953132,0.219644228730968,0.687611734825656,0.607420721177617,16.0020634552412,4.5040493261358,0.903352317814206
"reference__quarter_1__b100_p02500_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"reference","quarter_1","b100_p02500_s250",100,2500,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",50,150,-0.0565950801266736,0.5,1,0.775133079052916,0.882445060706305,0.228426703407318,0.680871044551093,0.598071985102894,15.5704533272235,4.60968172408484,0.896004531776645
"reference__quarter_1__b100_p01000_s200","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"reference","quarter_1","b100_p01000_s200",100,1000,200,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",50,150,-0.0594361807158326,0.5,1,0.782039706311441,0.886133691743801,0.221140521559706,0.69017362497995,0.60909903777733,15.8447236719484,4.49877102837708,0.903674934293719
"reference__quarter_1__b100_p01000_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"reference","quarter_1","b100_p01000_s250",100,1000,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",50,150,-0.0594296157563512,0.5,1,0.775990942225791,0.881838351202022,0.22565350097253,0.682848439961442,0.600885869389569,15.6500130321573,4.56059430165607,0.89221187541116
