run_id,profile,scope,config_id,design,varied_parameter,varied_value,n_bootstraps,possessions_per_bootstrap,samples_per_possession,source_possessions,status,elapsed_seconds,lambda_qut,lambda_max_obs,lambda_ci_low,lambda_ci_high,p_value,reject_qut,error,simulation_tag,run_seed
reference__full_game__config_00,reference,full_game,0,baseline,,,100,1000,200,920,ok,15.620965300000536,17.588889891636835,64.4977221913407,54.62192537328962,71.00266449614635,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,142
reference__quarter_1__config_00,reference,quarter_1,0,baseline,,,100,1000,200,230,ok,15.93000640000173,15.885575240431317,75.64484459260206,66.97388872242063,86.97730936315939,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,142
reference__quarter_2__config_00,reference,quarter_2,0,baseline,,,100,1000,200,230,ok,15.973264599997492,15.864944494337148,61.11045299612893,54.08543178437343,71.91567159429444,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,142
reference__quarter_3__config_00,reference,quarter_3,0,baseline,,,100,1000,200,230,ok,15.81262659999993,16.74073459673318,61.8967145234708,46.65662052082198,67.67435570014274,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,142
reference__quarter_4__config_00,reference,quarter_4,0,baseline,,,100,1000,200,230,ok,15.635067100000017,15.31688526648063,71.97616165650174,64.66108956429984,82.64450815754735,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,142
reference__full_game__config_01,reference,full_game,1,one_factor_sweep,n_bootstraps,10.0,10,1000,200,920,ok,3.457209799998964,16.78435565610578,65.24748669785546,56.57746411179821,68.87646633889585,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,143
reference__quarter_1__config_01,reference,quarter_1,1,one_factor_sweep,n_bootstraps,10.0,10,1000,200,230,ok,3.5043479000014486,16.18139147715355,80.80262828133748,66.53984136537939,87.45723653568695,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,143
reference__quarter_2__config_01,reference,quarter_2,1,one_factor_sweep,n_bootstraps,10.0,10,1000,200,230,ok,3.5217823999992106,15.37099290606765,58.22991174690488,53.662620319832605,65.43180358614231,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,143
reference__quarter_3__config_01,reference,quarter_3,1,one_factor_sweep,n_bootstraps,10.0,10,1000,200,230,ok,3.42654119999861,15.593021799753128,54.83268165268952,53.79290115730181,64.64103504329967,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,143
reference__quarter_4__config_01,reference,quarter_4,1,one_factor_sweep,n_bootstraps,10.0,10,1000,200,230,ok,3.518339999998716,15.70665687526424,65.96272533155084,65.48148429018073,81.56695341302559,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,143
reference__full_game__config_02,reference,full_game,2,one_factor_sweep,n_bootstraps,50.0,50,1000,200,920,ok,8.848008400000253,15.788400023616814,64.4713368364604,54.63644951726021,73.40711923147722,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,144
reference__quarter_1__config_02,reference,quarter_1,2,one_factor_sweep,n_bootstraps,50.0,50,1000,200,230,ok,8.934743199999502,15.024659958761074,75.09536503320929,70.7172125810679,84.40848256571245,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,144
reference__quarter_2__config_02,reference,quarter_2,2,one_factor_sweep,n_bootstraps,50.0,50,1000,200,230,ok,8.875244500002736,14.40065300510946,69.49351258469852,53.00438367669828,72.09329513392966,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,144
