run_id,stream_id,profile,scope,config_id,config_key,bootstrap_group_key,design,n_bootstraps,possessions_per_bootstrap,samples_per_possession,is_baseline,is_individual_profile_like,bootstrap_seed,null_seed,simulation_tag,sweep_tag,sweep_design_version,seed_policy_version,map_estimator,source_possessions,status,elapsed_seconds,lambda_qut,lambda_max_obs,lambda_ci_low,lambda_ci_high,lambda_ci_width,lambda_bootstrap_mean,lambda_bootstrap_std,bootstrap_draws_requested,bootstrap_draws_successful,p_value,reject_qut,error
reference__full_game__b010_p00100_s050,reference__full_game__p00100_s050,reference,full_game,0,b010_p00100_s050,p00100_s050,full_factorial_nested_prefix,10,100,50,False,False,1626580737,2065717480,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,920,ok,4.507297800002561,3.7707397164696026,5.162678146936134,2.930480934063069,6.651772563011911,3.721291628948842,4.526843671574077,1.404745626533492,10,10,0.0,True,
reference__full_game__b050_p00100_s050,reference__full_game__p00100_s050,reference,full_game,15,b050_p00100_s050,p00100_s050,full_factorial_nested_prefix,50,100,50,False,False,1626580737,2065717480,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,920,ok,15.901534599994193,3.7707397164696026,5.162678146936134,2.911027311161062,6.664548217581126,3.753520906420064,4.795366121671496,1.0396267685237022,50,50,0.0,True,
reference__full_game__b100_p00100_s050,reference__full_game__p00100_s050,reference,full_game,30,b100_p00100_s050,p00100_s050,full_factorial_nested_prefix,100,100,50,False,False,1626580737,2065717480,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,920,ok,33.833427600000505,3.7707397164696026,5.162678146936134,2.939542871817149,7.077393701724608,4.137850829907459,4.8861494717755,1.0734830251941274,100,100,0.0,True,
reference__quarter_1__b010_p00100_s050,reference__quarter_1__p00100_s050,reference,quarter_1,0,b010_p00100_s050,p00100_s050,full_factorial_nested_prefix,10,100,50,False,False,2007033508,2288206714,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,8.457998800002315,4.628453108428875,6.594989801138145,3.4668002831897686,6.442812367724198,2.976012084534429,5.066219562061848,0.942647302166334,10,10,0.0,True,
reference__quarter_1__b050_p00100_s050,reference__quarter_1__p00100_s050,reference,quarter_1,15,b050_p00100_s050,p00100_s050,full_factorial_nested_prefix,50,100,50,False,False,2007033508,2288206714,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,26.16084160000355,4.628453108428875,6.594989801138145,3.715059785955481,7.048567265709299,3.333507479753818,5.120582666904888,0.9171520739189724,50,50,0.0,True,
reference__quarter_1__b100_p00100_s050,reference__quarter_1__p00100_s050,reference,quarter_1,30,b100_p00100_s050,p00100_s050,full_factorial_nested_prefix,100,100,50,False,False,2007033508,2288206714,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,47.16817220000121,4.628453108428875,6.594989801138145,3.543686439913699,7.285252877005108,3.7415664370914095,5.188207752551725,0.991209693949184,100,100,0.0,True,
reference__quarter_3__b010_p00100_s050,reference__quarter_3__p00100_s050,reference,quarter_3,0,b010_p00100_s050,p00100_s050,full_factorial_nested_prefix,10,100,50,False,False,1879422960,2502894337,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,10.776149799999985,4.11779597790926,2.0547723135849805,2.2952727398575634,6.562416669387708,4.267143929530144,4.3983055764586325,1.4281399929555567,10,10,0.79,False,
reference__quarter_3__b050_p00100_s050,reference__quarter_3__p00100_s050,reference,quarter_3,15,b050_p00100_s050,p00100_s050,full_factorial_nested_prefix,50,100,50,False,False,1879422960,2502894337,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,26.513635599994814,4.11779597790926,2.0547723135849805,2.289887234763624,6.846736190664128,4.556848955900504,4.782040332418302,1.1245481050637898,50,50,0.79,False,
reference__quarter_3__b100_p00100_s050,reference__quarter_3__p00100_s050,reference,quarter_3,30,b100_p00100_s050,p00100_s050,full_factorial_nested_prefix,100,100,50,False,False,1879422960,2502894337,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,48.42720309998549,4.11779597790926,2.0547723135849805,2.2611501991811087,6.889308425004263,4.628158225823154,4.710025641063404,1.1112950822662329,100,100,0.79,False,
reference__quarter_4__b010_p00100_s050,reference__quarter_4__p00100_s050,reference,quarter_4,0,b010_p00100_s050,p00100_s050,full_factorial_nested_prefix,10,100,50,False,False,3771175008,2249015874,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,11.948161499998603,4.027439214361076,4.774153109961996,3.250743953798572,8.631123074758602,5.38037912096003,5.730430824755371,1.7371711477243554,10,10,0.02,True,
