run_id,stream_id,profile,scope,config_id,config_key,bootstrap_group_key,design,n_bootstraps,possessions_per_bootstrap,samples_per_possession,is_baseline,is_individual_profile_like,bootstrap_seed,null_seed,simulation_tag,sweep_tag,sweep_design_version,seed_policy_version,map_estimator,source_possessions,status,elapsed_seconds,lambda_qut,lambda_max_obs,lambda_ci_low,lambda_ci_high,lambda_ci_width,lambda_bootstrap_mean,lambda_bootstrap_std,bootstrap_draws_requested,bootstrap_draws_successful,p_value,reject_qut,error
high_y_side__full_game__b500_p01000_s100,high_y_side__full_game__p01000_s100,high_y_side,full_game,12,b500_p01000_s100,p01000_s100,targeted_nested_prefix,500,1000,100,False,False,720283694,2279431524,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,920,ok,317.46766240005127,15.646194613865434,73.9076994752647,66.99162162078696,85.25574360317387,18.26412198238691,76.37507625166064,4.623042410625422,500,500,0.0,True,
high_y_side__quarter_1__b500_p01000_s100,high_y_side__quarter_1__p01000_s100,high_y_side,quarter_1,12,b500_p01000_s100,p01000_s100,targeted_nested_prefix,500,1000,100,False,False,1621772669,3232072047,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,313.2649192999452,15.414098129815091,76.71292358792391,70.93758259023278,89.52666824900912,18.58908565877634,80.5786046813199,4.651572321636425,500,500,0.0,True,
high_y_side__quarter_2__b500_p01000_s100,high_y_side__quarter_2__p01000_s100,high_y_side,quarter_2,12,b500_p01000_s100,p01000_s100,targeted_nested_prefix,500,1000,100,False,False,2261497806,1778824526,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,309.95177890004925,14.508783616508117,71.0657874661507,70.89806892766141,87.05302707136136,16.154958143699943,78.62607246099718,4.239605457557502,500,500,0.0,True,
high_y_side__quarter_3__b500_p01000_s100,high_y_side__quarter_3__p01000_s100,high_y_side,quarter_3,12,b500_p01000_s100,p01000_s100,targeted_nested_prefix,500,1000,100,False,False,989841996,2281553899,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,313.3470424000261,15.372052179188772,60.18876178353135,54.717288968938654,71.82772141890199,17.110432449963334,63.417192557327496,4.527436215178954,500,500,0.0,True,
high_y_side__quarter_4__b500_p01000_s100,high_y_side__quarter_4__p01000_s100,high_y_side,quarter_4,12,b500_p01000_s100,p01000_s100,targeted_nested_prefix,500,1000,100,False,False,1763655778,620460948,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,311.2722645999984,14.772317316631158,91.50118538790892,78.058378337569,94.98396429026548,16.92558595269648,86.29077923129189,4.227121049958512,500,500,0.0,True,
low_y_side__full_game__b500_p01000_s100,low_y_side__full_game__p01000_s100,low_y_side,full_game,12,b500_p01000_s100,p01000_s100,targeted_nested_prefix,500,1000,100,False,False,720283694,614846277,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,920,ok,321.4793200000131,15.41738460055222,72.77976719641178,61.18371179083131,80.83210856174242,19.648396770911106,71.36904298525327,4.989136664269313,500,500,0.0,True,
low_y_side__quarter_1__b500_p01000_s100,low_y_side__quarter_1__p01000_s100,low_y_side,quarter_1,12,b500_p01000_s100,p01000_s100,targeted_nested_prefix,500,1000,100,False,False,1621772669,1814778397,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,316.9704966000281,14.469889259204422,64.75892176609952,58.6321120383946,75.82427640187905,17.192164363484444,67.29451510281308,4.300612459772858,500,500,0.0,True,
low_y_side__quarter_2__b500_p01000_s100,low_y_side__quarter_2__p01000_s100,low_y_side,quarter_2,12,b500_p01000_s100,p01000_s100,targeted_nested_prefix,500,1000,100,False,False,2261497806,1387896402,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,311.4918768999851,14.204195975692077,86.9152484004867,67.21180982286222,85.27862013685291,18.06681031399069,75.9878995715422,4.643836559407196,500,500,0.0,True,
low_y_side__quarter_3__b500_p01000_s100,low_y_side__quarter_3__p01000_s100,low_y_side,quarter_3,12,b500_p01000_s100,p01000_s100,targeted_nested_prefix,500,1000,100,False,False,989841996,3093510901,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,314.4837248999484,15.964904388585095,82.81534046340987,68.28037258844654,87.32436766945385,19.04399508100731,78.40632339228092,4.8461279847703125,500,500,0.0,True,
low_y_side__quarter_4__b500_p01000_s100,low_y_side__quarter_4__p01000_s100,low_y_side,quarter_4,12,b500_p01000_s100,p01000_s100,targeted_nested_prefix,500,1000,100,False,False,1763655778,1403665766,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,305.1964107000276,15.525509564664231,73.12711323622598,60.56350119391285,77.63163717878251,17.068135984869663,69.1429429279829,4.486034300808179,500,500,0.0,True,
perimeter__full_game__b500_p01000_s100,perimeter__full_game__p01000_s100,perimeter,full_game,12,b500_p01000_s100,p01000_s100,targeted_nested_prefix,500,1000,100,False,False,720283694,1334206472,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,920,ok,321.18902119997983,16.873110157637807,36.828446342739774,24.756872388433003,44.775788366523486,20.018915978090483,33.31654260629219,5.238436693742173,500,500,0.0,True,
perimeter__quarter_1__b500_p01000_s100,perimeter__quarter_1__p01000_s100,perimeter,quarter_1,12,b500_p01000_s100,p01000_s100,targeted_nested_prefix,500,1000,100,False,False,1621772669,855502337,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,310.9503564999741,14.893091974291783,42.34317560475622,29.42577807262551,48.9383806391456,19.51260256652009,38.73270765536038,4.9993049321518095,500,500,0.0,True,
