run_id,stream_id,profile,scope,config_id,config_key,bootstrap_group_key,design,n_bootstraps,possessions_per_bootstrap,samples_per_possession,is_baseline,is_individual_profile_like,bootstrap_seed,null_seed,simulation_tag,sweep_tag,sweep_design_version,seed_policy_version,map_estimator,source_possessions,status,elapsed_seconds,lambda_qut,lambda_max_obs,lambda_ci_low,lambda_ci_high,lambda_ci_width,lambda_bootstrap_mean,lambda_bootstrap_std,bootstrap_draws_requested,bootstrap_draws_successful,p_value,reject_qut,error
high_y_side__full_game__b500_p01000_s100,high_y_side__full_game__p01000_s100,high_y_side,full_game,0,b500_p01000_s100,p01000_s100,selected_ranked_validation,500,1000,100,False,False,1920414983,1504069770,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,736,ok,386.7834967999916,16.97921678908339,76.31420580121504,69.22569139094342,89.25765960913586,20.031968218192432,79.66131485635692,4.922053228098901,500,500,0.0,True,
high_y_side__full_game__b050_p02500_s250,high_y_side__full_game__p02500_s250,high_y_side,full_game,1,b050_p02500_s250,p02500_s250,selected_ranked_validation,50,2500,250,False,False,2735250012,3657802271,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,736,ok,67.02557299999899,26.228856176766516,236.52068046441568,223.5175586937376,250.18021667196555,26.662657978228,236.06608261833108,7.309345646058427,50,50,0.0,True,
high_y_side__full_game__b100_p02500_s250,high_y_side__full_game__p02500_s250,high_y_side,full_game,4,b100_p02500_s250,p02500_s250,selected_ranked_validation,100,2500,250,False,False,2735250012,3657802271,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,736,ok,131.40302160002102,26.228856176766516,236.52068046441568,223.66535606975523,249.97696396016804,26.3116078904128,235.29225035315008,7.090268221666183,100,100,0.0,True,
high_y_side__full_game__b050_p01000_s250,high_y_side__full_game__p01000_s250,high_y_side,full_game,2,b050_p01000_s250,p01000_s250,selected_ranked_validation,50,1000,250,False,False,2271573849,1666179045,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,736,ok,37.64224070000637,18.638785745531017,98.48288816199576,83.14593316595841,103.78646854631914,20.64053538036073,93.46800447318824,5.522583038938191,50,50,0.0,True,
high_y_side__full_game__b100_p01000_s250,high_y_side__full_game__p01000_s250,high_y_side,full_game,5,b100_p01000_s250,p01000_s250,selected_ranked_validation,100,1000,250,False,False,2271573849,1666179045,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,736,ok,71.6549409000072,18.638785745531017,98.48288816199576,83.25549738887372,105.10466371644748,21.84916632757377,93.95334583608916,5.687275442360945,100,100,0.0,True,
high_y_side__full_game__b100_p01000_s200,high_y_side__full_game__p01000_s200,high_y_side,full_game,3,b100_p01000_s200,p01000_s200,selected_ranked_validation,100,1000,200,True,False,2842462570,2566466706,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,736,ok,68.66473200002292,17.40696213092803,84.32227048685371,81.37483714522921,104.29406185537694,22.91922471014773,91.22079409560762,5.829763430225154,100,100,0.0,True,
high_y_side__quarter_1__b500_p01000_s100,high_y_side__quarter_1__p01000_s100,high_y_side,quarter_1,0,b500_p01000_s100,p01000_s100,selected_ranked_validation,500,1000,100,False,False,2647238433,3988492099,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,184,ok,371.8291469999713,15.945000033707268,80.35788658147341,69.90547497834098,87.43960922796113,17.534134249620152,78.59486465557781,4.33052783560686,500,500,0.0,True,
high_y_side__quarter_1__b050_p02500_s250,high_y_side__quarter_1__p02500_s250,high_y_side,quarter_1,1,b050_p02500_s250,p02500_s250,selected_ranked_validation,50,2500,250,False,False,3759287628,1549208640,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,184,ok,71.71500980000928,32.752961522401414,236.67314644173524,217.48809797520428,246.65616079555156,29.168062820347245,231.26742540251308,8.05077861679583,50,50,0.0,True,
high_y_side__quarter_1__b100_p02500_s250,high_y_side__quarter_1__p02500_s250,high_y_side,quarter_1,4,b100_p02500_s250,p02500_s250,selected_ranked_validation,100,2500,250,False,False,3759287628,1549208640,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,184,ok,134.5684979000216,32.752961522401414,236.67314644173524,215.09054155577095,246.92589263575329,31.835351079982274,231.2400679417532,8.446078535710456,100,100,0.0,True,
high_y_side__quarter_1__b050_p01000_s250,high_y_side__quarter_1__p01000_s250,high_y_side,quarter_1,2,b050_p01000_s250,p01000_s250,selected_ranked_validation,50,1000,250,False,False,3078264424,1835426287,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,184,ok,37.137267899994185,18.63506907352363,90.35454977426984,84.69611993180206,100.69642094936118,16.000301017559124,93.02154345087692,4.501179601894387,50,50,0.0,True,
