performance_rank,ranking_method,config_key,n_bootstraps,possessions_per_bootstrap,samples_per_possession,n_profile_scope_results,n_profiles,n_scopes,mean_penalized_profile_cosine,median_penalized_profile_cosine,minimum_penalized_profile_cosine,maximum_penalized_profile_cosine,mean_support_cosine,mean_outside_energy_fraction,mean_recovered_dynamic_range,qut_rejection_rate,mean_p_value,mean_lambda_qut,mean_lambda_max_obs,mean_lambda_ci_width,mean_lambda_bootstrap_std,expected_profile_scope_results,coverage_fraction,complete_coverage
1,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b050_p02500_s250,50,2500,250,20,4,5,0.9114360010420391,0.92360782314721,0.7582877615330625,0.9878890001445029,0.9517046061096792,0.08257724309673381,0.25984513231087475,1.0,0.0,26.414749110264218,174.7929906292105,30.694511902650543,8.527451303394141,20,1.0,True
2,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b050_p01000_s250,50,1000,250,20,4,5,0.9110430391451958,0.9308001996123951,0.7080236217178362,0.990745659619087,0.9524149552052485,0.0846390687519859,0.19991929133422673,1.0,0.0,16.40494700749282,67.23082648182498,19.635766029460818,5.513860548393654,20,1.0,True
3,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b100_p01000_s200,100,1000,200,20,4,5,0.9106471610388762,0.9273291783899377,0.724577341277161,0.9886749195524343,0.952673793882892,0.08573043577782473,0.20223155246814714,1.0,0.0,16.208300596271762,67.50331986404542,19.093485469046318,4.948112145698832,20,1.0,True
4,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b100_p02500_s250,100,2500,250,20,4,5,0.9104018951899796,0.9229931663952846,0.7595682669915219,0.9871612965867538,0.9510466519910319,0.08339381963497156,0.26043705717660487,1.0,0.0,26.414749110264218,174.7929906292105,32.04370536077376,8.445196065251258,20,1.0,True
5,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b100_p01000_s250,100,1000,250,20,4,5,0.9103860340043548,0.928576491388029,0.7182971087025807,0.9914510838025081,0.9526059902041657,0.0861243014536558,0.1994662081077695,1.0,0.0,16.40494700749282,67.23082648182498,20.206202263280485,5.469977397168768,20,1.0,True
6,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b050_p01000_s200,50,1000,200,20,4,5,0.9099593842127112,0.9282408458511566,0.7204889289758228,0.988333576289752,0.9531568819529944,0.08789823916626394,0.20234824284911154,1.0,0.0,16.208300596271762,67.50331986404542,19.40354361919956,5.173101481562836,20,1.0,True
7,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b010_p01000_s250,10,1000,250,20,4,5,0.9099118718534849,0.934462570866144,0.747442565633886,0.9940950951564447,0.9537181676568917,0.08889255585038697,0.19858728168997913,1.0,0.0,16.40494700749282,67.23082648182498,15.635947659197058,5.438223758521682,20,1.0,True
8,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b050_p02500_s200,50,2500,200,20,4,5,0.9087683012127495,0.9219886296596074,0.7537013517538854,0.9855295959298742,0.9506637627534211,0.08602019271457571,0.2628928715456277,1.0,0.0,26.218766752942695,176.01836435952364,31.14227855055222,8.38949589203308,20,1.0,True
9,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b010_p01000_s150,10,1000,150,20,4,5,0.9086065368741008,0.9263450740852296,0.7250714069410809,0.9899336072575373,0.9516114365971916,0.08774462122430922,0.2066942052729428,1.0,0.0,16.135313253161797,64.37417086911766,14.314622944791685,5.057499265013433,20,1.0,True
10,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b050_p01000_s150,50,1000,150,20,4,5,0.9083904200572865,0.9227191820116925,0.7211487356597645,0.9878900005658042,0.9506338513533766,0.08647839690315781,0.20365674078697338,1.0,0.0,16.135313253161797,64.37417086911766,17.83493493515676,4.914326195313024,20,1.0,True
11,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b100_p02500_s200,100,2500,200,20,4,5,0.9082255563877378,0.9213140509735674,0.7534851487438999,0.9854021284271633,0.9502035758542986,0.08621425424835433,0.26308490611147134,1.0,0.0,26.218766752942695,176.01836435952364,31.592167928256185,8.425311683059766,20,1.0,True
12,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b100_p01000_s150,100,1000,150,20,4,5,0.9080024859323572,0.923532013479426,0.7078651599077496,0.9886622331843126,0.9501649460658215,0.08635195607042442,0.20322688861750066,1.0,0.0,16.135313253161797,64.37417086911766,18.38318298141704,4.918290797720002,20,1.0,True
13,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b010_p01000_s200,10,1000,200,20,4,5,0.9076674088114751,0.9294145565491707,0.7109253850142903,0.986249257365846,0.9527200430577691,0.0914731427144814,0.20474404292181134,1.0,0.0,16.208300596271762,67.50331986404542,16.377460641664648,5.730737561093274,20,1.0,True
14,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b100_p02500_s150,100,2500,150,20,4,5,0.9066459196872463,0.9218306251103319,0.7481747298977066,0.9841212842349121,0.9481785089867432,0.08524909503172926,0.26981519802939147,1.0,0.0,25.459456051646807,162.86284784818275,29.917880263210087,7.917987265643532,20,1.0,True
15,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b050_p02500_s150,50,2500,150,20,4,5,0.9056968320956592,0.9182206870235985,0.744116742645438,0.9846612237108813,0.9478364224185777,0.0865101433564008,0.26903496351093054,1.0,0.0,25.459456051646807,162.86284784818275,29.221429846011972,8.014714003456861,20,1.0,True
16,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b500_p01000_s100,500,1000,100,20,4,5,0.9041166831477596,0.9221866807978071,0.7269667656611395,0.985900910417512,0.9484548591209336,0.09054456105401046,0.2138279085792601,1.0,0.0,15.13747523660177,60.38925442025828,17.74591726114614,4.54379702241622,20,1.0,True
17,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b100_p01000_s100,100,1000,100,20,4,5,0.9037948357599813,0.9222523615091556,0.727308702548626,0.9860314091747989,0.9484348154054354,0.09124699601528119,0.21415828448021784,1.0,0.0,15.13747523660177,60.38925442025828,17.316310839208878,4.6281866060833075,20,1.0,True
18,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b050_p01000_s100,50,1000,100,20,4,5,0.9013066749638619,0.9198577888748454,0.7254678129715593,0.9893923060672937,0.9483440483925396,0.09584897046444567,0.2152613343275152,1.0,0.0,15.13747523660177,60.38925442025828,16.457805990625914,4.571407046732002,20,1.0,True
19,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b010_p01000_s100,10,1000,100,20,4,5,0.8999350668683475,0.9155581634999973,0.7473722193431478,0.992078158468578,0.9480836872929711,0.09808341978170318,0.21286233983002606,1.0,0.0,15.13747523660177,60.38925442025828,13.078183194718708,4.484858140082012,20,1.0,True
